Region,Districts,TA,EPA,Constituency,GVH,Village,Organisation_Name,Organisation_status,NYCOM_Affiliate,Total_Males_staff,Total_Females_Staff,Focus_AREA,Focus_AREA_Economic,Focus_AREA_Climate_Change,Focus_AREA_Education,Focus_AREA_Health,Focus_AREA_Gender_SocialProtection,Focus_AREA_Agriculture,Focus_AREA_Governance,Economic,Economic_Small_scale_Mining,Economic_MSMEs,Economic_Group_Economies,Economic_IGAs,Economic_Financial_literacy,Economic_Energy,Economic_Transport,Economic_Creative_Industries,Economic_Digital_Skills,Economic_Tourism,Climate_Change,Climate_Change_Environment,Climate_Change_Climatechange_mit,Climate_Change_ClimateJustice_advocacy,Climate_Change_Climatechang_adapt,Climate_Change_Capacitybuilding_training,Climate_Change_Research_innovation,Education,Education_ECD_CBCC,Education_Literacy_language,Education_IEC_Media,Education_VocationalskillsTraining,Education_Arts_craft,Education_Leadership,Education_Cultural_values,Education_Library_service,Education_ICT,Education_Guidance_councelling,Education_STEAM,Education_Foundational_Learning,Education_Inclusive_Education,Education_Schoolhealth_nutrition,Education_Schoolleadership_mangnt,Education_Bursaries_Scholars,Education_Adult_Literacy,Education_Functional_Literacy,Education_Advocacy,Health,Health_HIV_AIDS_STIs,Health_CSEoutofschool,Health_SRHR_Fistula,Health_SRHR_YFHS,Health_SRHR_Familyplanning,Health_Humanitarian_response,Health_Access_SRHR_Vulnerablegrps,Health_Maternal_Health,Health_Peer_Education,Health_SubstanceUse_Abuse,Health_SocialBehaviourChange,Health_MentalHealth,Health_PplLivngwithHIV,Health_WASH,Health_Advocacy,Gender_socialP,Gender_socialP_Gender_equality,Gender_socialP_children_rights,Gender_socialP_Women_girlsEmpowerment,Gender_socialP_Women_rights,Gender_socialP_child_protection,Gender_socialP_youth_childdev,Gender_socialP_Behavior_change,Gender_socialP_Elderly_care,Gender_socialP_Guidance_councelling,Gender_socialP_Resource_centres,Gender_socialP_Orphan_Care,Gender_socialP_Advocacy_policyAdvocacy,Gender_socialP_GBV,Gender_socialP_Adult_literacy,Gender_socialP_Communityskilldev,Gender_socialP_EndingChildMarriages,Gender_socialP_Trad_CulturalPractices,Gender_socialP_TraffickingPersonsPrevention,Gender_socialP_Communitypolicing,Governance,Governance_PoliticalParticipation,Governance_CivicParticipation,Governance_Advocacy_Lobbying,Governance_DemocracyPromotion,Governance_HumanRightsPromotion,Governance_Networking,Governance_Leadership,Agriculture,Agriculture_AgricProd_Productivity,Agriculture_Food_NutritionSecurity,Agriculture_Agribusiness,Agriculture_Sustainabledev,Agriculture_AgricResearch_Innovation,Agriculture_Advocacy,Mission_Statement,Vision,Total_Male Beneficiaries,TotalFem_Beneficiaries,Males_withdisabillity,Females_withdisabillity,Males_disclosedHIVstatus,Females_disclosedHIVstatus,Board_Meeting,Executive_Meeting,Organisation_Meeting,IGA_Activity,Areas_ofimprovement,Areas_ofimprovement_Health,Areas_ofimprovement_leadership,Areas_ofimprovement_Entrepreneurship,Areas_ofimprovement_M_E,Areas_ofimprovement_ICT,Areas_ofimprovement_Vocational,Areas_ofimprovement_Finance,Areas_ofimprovement_Administration,Areas_ofimprovement_Communication,Areas_ofimprovement_Procurement,MRA_Reg_Cert,Ngora_Reg_Cert,Congoma_Reg_Cert,Registrageneral_Reg_Cert,Youthcoop_Reg_Cert,MBS_Reg_Cert,MSME_Reg_Cert,Challenges,Challenges_Access_to_Land,Challenges_Finances,Challenges_Capacity_Building,Challenges_Lack_Systems,Challenges_Regulatorybody_registration,Challenges_ResourseMobilisationTechiniques,Challenges_Markets,Challenges_Networking_Partnership_building,Challenges_Leadership,Latitude,Longitude,Altitude,Accuracy
South,Zomba,TA Malemia,Naliso,Malosa,Mtogolo,Kalembo,Devoted youth Actions for change,Active,Yes,23,24,Climate_Change Education Health Gender&SocialP,0,1,1,1,1,0,0,,,,,,,,,,,,Environment,1,0,0,0,0,0,Inclusive_Education,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"HIV,AIDS,STIs",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,To teach women and girls about safe motherhood,To fix Zomba malosa mountain and to ensure that the youth are developed,44,35,1,5,10,30,Quarterly,Monthly,Quarterly,Donor funding/Monthly contribution/business,leadership M&E,0,1,0,1,0,0,0,0,0,0,Yes,Pending,No,Pending,No,No,No,Capacity_Building Regulatorybody_registration ResourseMobilisationTechiniques,0,0,1,0,1,1,0,0,0,-15.2823266393549,35.3814861352297,804.5,12.2
South,Zomba,TA Mwambo,Likangala,Zomba likangala,Nyanya,Mulosowa,Centre for education promotion and advancement of the rights of adolescents mothers,Active,Pending,2,3,Climate_Change Education Health Gender&SocialP,0,1,1,1,1,0,0,,,,,,,,,,,,Climatechange_mit,0,1,0,0,0,0,Inclusive_Education,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SRHR_YFHS SRHR_Familyplanning,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Gender_equality GBV,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,Creating an Environment where adolescent mothers enjoy their rights and rights are protected and prevention of teenager pregnancy,Free Environment where adolescents mothers enjoy their rights,147,166,3,2,2,5,Quarterly,Weekly,Weekly,Donations/ collaborations,M&E Finance,0,0,0,1,0,0,1,0,0,0,No,Pending,Pending,Yes,No,No,No,Finances Lack_Systems ResourseMobilisationTechiniques,0,1,0,1,0,1,0,0,0,-15.393525244728,35.3868553980973,791.2,7.6
South,Zomba,TA Mwambo,N/A,Chilunga ward,Nyanya,Thom Alan,Keep encourage centre youth organization,Inactive,No,10,13,Climate_Change Education Health Gender&SocialP,0,1,1,1,1,0,0,,,,,,,,,,,,Environment,1,0,0,0,0,0,ECD&CBCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HIV,AIDS,STIs",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,N/A,N/A,1004,790,1,2,4,3,Biannually,Bi_weekly,Bi_weekly,Membership contribution/ fundraising,leadership Finance,0,1,0,0,0,0,1,0,0,0,No,No,No,No,No,No,No,Access_to_Land Finances ResourseMobilisationTechiniques,1,1,0,0,0,1,0,0,0,-15.3809282007241,35.3471261689904,877.5,16.4
South,Zomba,TA Chikowi,Chikanda,Zomba central,Namalaka,Chambo,Safe haven youth organization,Inactive,Pending,19,25,Economic Climate_Change Education Gender&SocialP,1,1,1,0,1,0,0,IGAs,0,0,0,1,0,0,0,0,0,0,Climatechange_mit,0,1,0,0,0,0,VocationalskillsTraining,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,EndingChildMarriages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,"To develop healthy urban-youth physically,cognitively,emotionally, and spiritually to become a responsible and God- fearing",To change the lives of youth in the community in zomba city by sharing God’s love and truth in words and actions,195,102,4,1,3,0,None,Quarterly,Monthly,Business/membership contribution,leadership Entrepreneurship,0,1,1,0,0,0,0,0,0,0,No,No,No,No,No,No,No,Capacity_Building Networking&Partnership_building Leadership,0,0,1,0,0,0,0,1,1,-15.4022705895805,35.3129107198859,918.4,6.8
South,Zomba,TA Chikowi,Thondwe,Mtonya,Maluwa,Natambwe,Youth Counseling Movement organization,Active,Yes,5,3,Climate_Change Health Gender&SocialP,0,1,0,1,1,0,0,,,,,,,,,,,,Environment Climatechange_mit,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"HIV,AIDS,STIs SRHR_YFHS SRHR_Familyplanning",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,children_rights Women_rights,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,To promote and protect the orphans and young peoples welfare at grass root level by giving them counseling support,To have a Malawi with genuine democratic and cultural values with skilled and active youths for economic growth and development,1400,1600,10,15,20,38,Quarterly,Weekly,Monthly,Monthly contribution / farming / 10% from workshop allowance,Finance Administration,0,0,0,0,0,0,1,1,0,0,No,No,No,No,No,No,No,Finances Capacity_Building ResourseMobilisationTechiniques,0,1,1,0,0,1,0,0,0,-15.4374131525995,35.3554970902368,821.4,9.1
South,Zomba,STA Ntholowa,Nzaone,Zomba thondwe,Jiya,Kalimu,Chikonde Youth Organization,Active,Yes,4,3,Climate_Change Health Gender&SocialP,0,1,0,1,1,0,0,,,,,,,,,,,,Climatechange_mit,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"HIV,AIDS,STIs SRHR_YFHS SRHR_Familyplanning",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,GBV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,"To strengthen the capacities of rural vulnerable people and improve their living standard on issues of child protection & ECD ,girl and women empowerment sexual and reproductive health/adolescent development,youth participation and education in the society to  reach children and the youth",A health society where vulnerable and marginalized children and the youth participate fully in community development to live a standard commensurate with their dignity as human beings,104,169,1,0,49,67,Annually,Monthly,Weekly,Peace work/ membership contribution/ farming,Entrepreneurship ICT,0,0,1,0,1,0,0,0,0,0,No,No,No,No,No,No,No,Finances Regulatorybody_registration ResourseMobilisationTechiniques,0,1,0,0,1,1,0,0,0,-15.5378480415442,35.2937578757399,888.7,15.4
Central,Kasungu,TA Chisemphere,Kaluluma,Kasungu north east,Mulimo,Mulimo,Luso girls organization,Active,Pending,3,190,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,MSMEs Group_Economies IGAs Financial_literacy Creative_Industries,0,1,1,1,1,0,0,1,0,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training Research_innovation,1,1,1,1,1,1,ECD&CBCC Literacy&language IEC&Media VocationalskillsTraining Arts_craft Leadership Cultural_values Library_service ICT Guidance_councelling,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"HIV,AIDS,STIs CSEoutofschool SRHR_Fistula SRHR_YFHS SRHR_Familyplanning Humanitarian_response Access_SRHR_Vulnerablegrps Maternal_Health Peer_Education SubstanceUse&Abuse SocialBehaviourChange",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Gender_equality children_rights Women&girlsEmpowerment Women_rights child_protection youth&childdev Behavior_change Elderly_care Guidance_councelling Resource_centres Orphan_Care,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,PoliticalParticipation CivicParticipation Advocacy&Lobbying DemocracyPromotion HumanRightsPromotion Networking Leadership,1,1,1,1,1,1,1,AgricProd&Productivity Food&NutritionSecurity Agribusiness Sustainabledev Advocacy,1,1,1,1,0,1,Empowering girls with self -esteem to demand their rights and protect their socioeconomic development rights through creation of inclusive environment in all aspects of life.,Society where all youth especially girls have equal opportunity and access to inclusive education and active participation in country's development.,235,1458,15,50,30,450,Monthly,Bi_weekly,Monthly,Farming and tairoling,Entrepreneurship Finance,0,0,1,0,0,0,1,0,0,0,Pending,No,No,Pending,No,No,No,Access_to_Land Regulatorybody_registration ResourseMobilisationTechiniques,1,0,0,0,1,1,0,0,0,-12.7160391,33.4840661,0,3700
South,Chiradzulu,TA Nchema,Mombezi,Chiradzulu east,Mawuwa,Nkwaila,Tiyanjane Youth Organisation,Active,Pending,16,34,Economic Climate_Change Education Health Gender&SocialP Governance,1,1,1,1,1,0,1,MSMEs IGAs Financial_literacy,0,1,0,1,1,0,0,0,0,0,Climatechange_mit Climatechang_adapt,0,1,0,1,0,0,ECD&CBCC Bursaries_Scholars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"HIV,AIDS,STIs SRHR_YFHS SRHR_Familyplanning Humanitarian_response Peer_Education",1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,Behavior_change Elderly_care EndingChildMarriages,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,PoliticalParticipation CivicParticipation,1,1,0,0,0,0,0,,,,,,,,To make our community a better place to live with educated youth who will take part in the development of the community by providing the youth with different school related assistance and vocational training. It also strive to engage the youth and communities on related issues,To reduce early marriages and teenagers and also empower our community including the youth economically and live healthy and productive lived,132,131,12,6,0,0,Quarterly,Monthly,Monthly,"Farming, fundraising activities, peace work, VSL, business",leadership Administration,0,1,0,0,0,0,0,1,0,0,No,No,No,No,No,No,No,Finances Capacity_Building Leadership,0,1,1,0,0,0,0,0,1,-15.6627225636198,35.2480181545707,853.6,5
South,Chiradzulu,Mpama,Mombezi,Chiradzulu central,Mbalame,Kapalamula,Young women Rise (YOWORI),Active,Yes,0,5,Economic Climate_Change Education Health Gender&SocialP Governance,1,1,1,1,1,0,1,MSMEs Group_Economies,0,1,1,0,0,0,0,0,0,0,Capacitybuilding&training,0,0,0,0,1,0,VocationalskillsTraining Library_service Bursaries_Scholars,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,SRHR_YFHS Advocacy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,GBV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Advocacy&Lobbying,0,0,1,0,0,0,0,,,,,,,,To elevate human suffering and social injustices of the ordinary people especially women and girls by providing hope to the hopeless and voice to the voice for the social economic and education development,To achieve a community with more girls and women that are able to voice out all forms of violation,405,1047,74,155,0,100,Quarterly,Weekly,Weekly,"Pig farming, incubator",Health Entrepreneurship,1,0,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,No,Finances Capacity_Building ResourseMobilisationTechiniques,0,1,1,0,0,1,0,0,0,-15.705932704345,35.1794876441634,1118.5,4.8
South,Chiradzulu,Mpama,Mombezi,Masanjala,Chakachadza,Kunchema,Chinkombero youth organisation (CYO),Active,Yes,9,10,Economic Climate_Change Education Health Gender&SocialP Governance,1,1,1,1,1,0,1,MSMEs Group_Economies IGAs Financial_literacy,0,1,1,1,1,0,0,0,0,0,Climatechange_mit,0,1,0,0,0,0,ECD&CBCC VocationalskillsTraining Arts_craft,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HIV,AIDS,STIs SRHR_YFHS Advocacy",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Women&girlsEmpowerment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HumanRightsPromotion,0,0,0,0,1,0,0,,,,,,,,Promote active participation of youth women and other vulnerable groups in development activities at local and national level. We inspire to enhance and promote human well being to all people in our impact areas,By 2035 make sure young people are participating on development works as well as inclusive,308,302,5,4,1,2,Quarterly,Weekly,Weekly,"Peace work, technical and vocational, farming, membership contributions",Health leadership,1,1,0,0,0,0,0,0,0,0,No,Pending,Pending,No,No,No,No,Finances Capacity_Building Leadership,0,1,1,0,0,0,0,0,1,-15.7218800156008,35.1183851218581,1094.8,4.8
Central,Ntchisi,TA Malenga,Chipuka,Ntchisi East,Sandwe,Sandwe,Voice  of Community (VOCO),Active,Pending,12,5,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,MSMEs Group_Economies IGAs Financial_literacy,0,1,1,1,1,0,0,0,0,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training,1,1,1,1,1,0,ECD&CBCC VocationalskillsTraining Leadership Inclusive_Education Schoolhealth_nutrition,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,SRHR_YFHS SRHR_Familyplanning Humanitarian_response Access_SRHR_Vulnerablegrps Maternal_Health Peer_Education SubstanceUse&Abuse SocialBehaviourChange MentalHealth Advocacy,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,Gender_equality children_rights Women&girlsEmpowerment Women_rights child_protection youth&childdev Behavior_change Orphan_Care Advocacy-policyAdvocacy GBV EndingChildMarriages Communitypolicing,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,PoliticalParticipation CivicParticipation Advocacy&Lobbying DemocracyPromotion HumanRightsPromotion,1,1,1,1,1,0,0,AgricProd&Productivity Food&NutritionSecurity Agribusiness,1,1,1,0,0,0,To create the communities where the organization is targeting have an access to voice out and take action on all development activities happening in their areas.,"To be well equiped financially and materially and well trained people in order to reach all the Mchedwa areas with enough information on climate change,education,leadership, governance, Agriculture, health and Human rights.",94,146,12,16,21,32,Monthly,Monthly,Quarterly,Contributions and farming,Entrepreneurship Finance,0,0,1,0,0,0,1,0,0,0,No,No,No,No,Yes,No,Yes,Finances ResourseMobilisationTechiniques Networking&Partnership_building,0,1,0,0,0,1,0,1,0,-13.3639926,33.8957124,0,3800
Central,Mchinji,TA Mkanda,Mkanda,Mchinji north,Mkanda,Miliyoti,Miliyoti youth organisation,Active,Yes,13,8,Economic Climate_Change Education Health Gender&SocialP Agriculture,1,1,1,1,1,1,0,MSMEs Group_Economies IGAs Financial_literacy Energy Creative_Industries,0,1,1,1,1,1,0,1,0,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training,1,1,1,1,1,0,ECD&CBCC Bursaries_Scholars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"HIV,AIDS,STIs CSEoutofschool SRHR_Fistula SRHR_YFHS SRHR_Familyplanning Access_SRHR_Vulnerablegrps Maternal_Health Peer_Education SubstanceUse&Abuse MentalHealth PplLivngwithHIV Advocacy",1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,Gender_equality Women&girlsEmpowerment Women_rights youth&childdev Resource_centres GBV EndingChildMarriages Communitypolicing,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,AgricProd&Productivity Food&NutritionSecurity Agribusiness,1,1,1,0,0,0,The investment is there  to ensure there is readily available nutritious and quality goods in mchinji and beyond.,"To reduce poverty, hunger malnutrition, and unemployment.",267,441,7,9,13,29,Monthly,Bi_weekly,Bi_weekly,"Farming Soya,maize and rice,processing porridge flour,making manure, honey production, we sale mandasi and thobwa",leadership Finance,0,1,0,0,0,0,1,0,0,0,No,No,No,No,No,No,No,Finances Markets Leadership,0,1,0,0,0,0,1,0,1,-13.5230237,32.9562672,0,3200
Central,Mchinji,TA Dambe,Kalulu,North east,Kambuwe,Kambuwe,Kambuwe youth organisation,Active,Pending,14,13,Economic Education Health Agriculture,1,0,1,1,0,1,0,MSMEs Group_Economies IGAs Creative_Industries,0,1,1,1,0,0,0,1,0,0,,,,,,,,VocationalskillsTraining Arts_craft Inclusive_Education Bursaries_Scholars,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"HIV,AIDS,STIs CSEoutofschool SRHR_YFHS SRHR_Familyplanning Access_SRHR_Vulnerablegrps Peer_Education SocialBehaviourChange Advocacy",1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AgricProd&Productivity Food&NutritionSecurity Agribusiness,1,1,1,0,0,0,"To facilitate projects that focus on economic empowerment,healthy and participate in developmental agendas.","To see a community whose young people are healthy,self reliant and spearheading development.",107,104,1,0,0,0,Monthly,Weekly,Weekly,Bee keeping honey production and farming,Health Entrepreneurship,1,0,1,0,0,0,0,0,0,0,No,No,No,No,No,No,No,Finances Capacity_Building Markets,0,1,1,0,0,0,1,0,0,-13.5194418,33.0573851,1050,5.9
Central,Kasungu,TA Kaomba,CHIPALA,Kasungu Central,Belele,Belele,Girls on the Lead,Active,Pending,0,8,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,MSMEs Group_Economies IGAs Financial_literacy Digital_Skills,0,1,1,1,1,0,0,0,1,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training Research_innovation,1,1,1,1,1,1,VocationalskillsTraining Arts_craft Leadership Guidance_councelling Inclusive_Education Schoolhealth_nutrition Schoolleadership_mangnt Bursaries_Scholars Advocacy,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,CSEoutofschool SRHR_YFHS SRHR_Familyplanning Access_SRHR_Vulnerablegrps Maternal_Health Peer_Education MentalHealth Advocacy,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,Gender_equality children_rights Women&girlsEmpowerment Women_rights child_protection youth&childdev Behavior_change Guidance_councelling Advocacy-policyAdvocacy GBV Adult_literacy Communityskilldev EndingChildMarriages Trad&CulturalPractices Communitypolicing,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,PoliticalParticipation CivicParticipation Advocacy&Lobbying DemocracyPromotion HumanRightsPromotion Networking Leadership,1,1,1,1,1,1,1,AgricProd&Productivity Food&NutritionSecurity Agribusiness Advocacy,1,1,1,0,0,1,To forge an unstoppable path that fuels the rise of young women towards a boundary shattering future,"A world where young women are at the forefront of leadership, driving transformative change and shaping a future free from gender based discrimination",400,1100,1,0,0,2,Quarterly,Weekly,Weekly,Business,Entrepreneurship Finance,0,0,1,0,0,0,1,0,0,0,Yes,Yes,Yes,Yes,No,No,No,Finances Capacity_Building ResourseMobilisationTechiniques,0,1,1,0,0,1,0,0,0,-13.0358538,33.4840875,0,64.1
Central,Kasungu,TA Kaomba,Chipala,Kasungu central,Belele,Belele,Good health youth organisation,Active,Yes,2,7,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,MSMEs Group_Economies IGAs Financial_literacy Digital_Skills,0,1,1,1,1,0,0,0,1,0,Climatechange_mit Climatechang_adapt Capacitybuilding&training,0,1,0,1,1,0,ECD&CBCC IEC&Media VocationalskillsTraining Arts_craft Leadership ICT Guidance_councelling Inclusive_Education Adult_Literacy Advocacy,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,"HIV,AIDS,STIs CSEoutofschool SRHR_YFHS SRHR_Familyplanning Humanitarian_response Access_SRHR_Vulnerablegrps Peer_Education SubstanceUse&Abuse SocialBehaviourChange MentalHealth Advocacy",1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,Gender_equality children_rights Women&girlsEmpowerment Women_rights child_protection youth&childdev Behavior_change Guidance_councelling Advocacy-policyAdvocacy GBV Communityskilldev EndingChildMarriages Trad&CulturalPractices TraffickingPersonsPrevention,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,PoliticalParticipation CivicParticipation Advocacy&Lobbying DemocracyPromotion HumanRightsPromotion Networking Leadership,1,1,1,1,1,1,1,AgricProd&Productivity Food&NutritionSecurity Agribusiness Sustainabledev Advocacy,1,1,1,1,0,1,"To promote meaningful youth participation in social economic development through creation of an  enabling environment and capacity advancement to amplify their voices at community, district, and national level.","GHO Unvisions an environment in which all youth are well trained, vibrant, productive, recognised, and have equal access to opportunities in all aspects of life.",3480,5928,18,7,0,0,Quarterly,Weekly,Monthly,Chairs for hire,Entrepreneurship Finance,0,0,1,0,0,0,1,0,0,0,Yes,Yes,Yes,Yes,No,No,No,Capacity_Building ResourseMobilisationTechiniques Networking&Partnership_building,0,0,1,0,0,1,0,1,0,-13.0376092,33.4832932,0,110
Central,Dowa,TA Msakambewa,Nachisaka,Dowa west,Topaisi,TEMBO,Kongwe Hills youth organisation,Active,Yes,62,24,Economic Education Health Gender&SocialP Agriculture,1,0,1,1,1,1,0,Group_Economies IGAs,0,0,1,1,0,0,0,0,0,0,,,,,,,,ECD&CBCC Inclusive_Education Schoolhealth_nutrition Bursaries_Scholars Adult_Literacy,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,"HIV,AIDS,STIs SRHR_YFHS SRHR_Familyplanning Access_SRHR_Vulnerablegrps PplLivngwithHIV WASH",1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,Gender_equality Women&girlsEmpowerment Women_rights,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,AgricProd&Productivity Food&NutritionSecurity,1,1,0,0,0,0,Na,Na,28,24,3,1,0,2,Monthly,Weekly,Bi_weekly,Farming and VSL,Entrepreneurship Vocational,0,0,1,0,0,1,0,0,0,0,No,No,No,No,No,No,No,Finances Capacity_Building ResourseMobilisationTechiniques,0,1,1,0,0,1,0,0,0,-13.6036719,33.9428466,1366.7,7.5
Central,Dowa,TA Chiwere,Nachisaka,Dowa Central east,Gawamadzi,Gawamadzi,Themba youth organisation,Active,Yes,12,13,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,IGAs,0,0,0,1,0,0,0,0,0,0,Environment Climatechange_mit Climatechang_adapt,1,1,0,1,0,0,ECD&CBCC VocationalskillsTraining Inclusive_Education Schoolhealth_nutrition Bursaries_Scholars Advocacy,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,"HIV,AIDS,STIs SRHR_Familyplanning Humanitarian_response Maternal_Health Peer_Education SubstanceUse&Abuse PplLivngwithHIV Advocacy",1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,Gender_equality Women&girlsEmpowerment Guidance_councelling GBV EndingChildMarriages,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,PoliticalParticipation CivicParticipation Advocacy&Lobbying Networking Leadership,1,1,1,0,0,1,1,AgricProd&Productivity Food&NutritionSecurity Agribusiness,1,1,1,0,0,0,"TYO recognises the role 9f the youth hence strive to encourage them know the dangers of unplanned families, drugs and substance abuse and STIs ,give them agricultural,leadership and environmental skills and assist them realise the importance of education, gender,religion, and preservation of traditions and customs.",To create crime free society among the youths and have adequate capacity and knowledge to deal with HIV and AIDS negative effects among the youths and general societies.,15874,33555,0,2,0,0,Monthly,Bi_weekly,Quarterly,Business,Vocational Finance,0,0,0,0,0,1,1,0,0,0,No,No,No,Pending,No,Pending,No,Finances Capacity_Building Leadership,0,1,1,0,0,0,0,0,1,-13.6540821,33.9439825,1326.5,8.3
Central,Dowa,TA Kayembe,Kafulu,Dowa west,Mbingwa,Mbingwa,Kafulu youth organisation,Active,Yes,11,9,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,Group_Economies IGAs Financial_literacy Creative_Industries,0,0,1,1,1,0,0,1,0,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training,1,1,1,1,1,0,ECD&CBCC VocationalskillsTraining Arts_craft Cultural_values Guidance_councelling Inclusive_Education Advocacy,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,"HIV,AIDS,STIs SRHR_YFHS SRHR_Familyplanning Humanitarian_response Maternal_Health SubstanceUse&Abuse SocialBehaviourChange MentalHealth PplLivngwithHIV WASH Advocacy",1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,children_rights Women&girlsEmpowerment child_protection youth&childdev Behavior_change Guidance_councelling GBV EndingChildMarriages Communitypolicing,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,PoliticalParticipation CivicParticipation Advocacy&Lobbying HumanRightsPromotion Leadership,1,1,1,0,1,0,1,AgricProd&Productivity Food&NutritionSecurity,1,1,0,0,0,0,Sustaining livelihoods for the youth,To develop knowledge and resposible young people with capacity to fully developmental aspirations.,157,208,0,1,1,2,Annually,Monthly,Annually,Chairs for Hire and farming,Entrepreneurship Finance,0,0,1,0,0,0,1,0,0,0,No,No,No,No,No,No,No,Finances Capacity_Building ResourseMobilisationTechiniques,0,1,1,0,0,1,0,0,0,-13.5419277,33.5226581,1061.8,4.9
